|||Energy sector
|||Oil & gas drilling
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
7|Société de Fabrication de Produits Chimiques|Specialty Chemicals|http://www.sfpc.com.tn|http://www.sfpc.com.tn/careers|http://www.sfpc.com.tn/news
8|Société des Engrais de Tunis|Specialty Chemicals|http://www.set.com.tn|http://www.set.com.tn/careers|http://www.set.com.tn/news
9|Société de Distribution des Produits Chimiques|Specialty Chemicals|http://www.sdpc.com.tn|http://www.sdpc.com.tn/careers|http://www.sdpc.com.tn/news
10|Société Tunisienne de l'Acide Sulfurique|Specialty Chemicals|http://www.stas.com.tn|http://www.stas.com.tn/careers|http://www.stas.com.tn/news

|||Construction materials
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne des Ciments|Construction Materials|http://www.stc.com.tn|http://www.stc.com.tn/careers|http://www.stc.com.tn/news
2|Société des Ciments de Gabès|Construction Materials|http://www.scg.com.tn|http://www.scg.com.tn/careers|http://www.scg.com.tn/news
3|Société Tunisienne des Matériaux de Construction|Construction Materials|http://www.stmc.com.tn|http://www.stmc.com.tn/careers|http://www.stmc.com.tn/news
4|Société de Fabrication de Matériaux de Construction|Construction Materials|http://www.sfmc.com.tn|http://www.sfmc.com.tn/careers|http://www.sfmc.com.tn/news
5|Société Tunisienne de Briques|Construction Materials|http://www.stb.com.tn|http://www.stb.com.tn/careers|http://www.stb.com.tn/news
6|Société des Produits de Construction|Construction Materials|http://www.spc.com.tn|http://www.spc.com.tn/careers|http://www.spc.com.tn/news
7|Société des Ciments de Bizerte|Construction Materials|http://www.scb.com.tn|http://www.scb.com.tn/careers|http://www.scb.com.tn/news
8|Société Tunisienne des Matériaux|Construction Materials|http://www.stm.com.tn|http://www.stm.com.tn/careers|http://www.stm.com.tn/news
9|Société des Granulats|Construction Materials|http://www.sog.com.tn|http://www.sog.com.tn/careers|http://www.sog.com.tn/news
10|Société de Béton Précontraint|Construction Materials|http://www.sbpc.com.tn|http://www.sbpc.com.tn/careers|http://www.sbpc.com.tn/news

|||Containers & packaging
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne d'Emballage|Containers & Packaging|http://www.ste.com.tn|http://www.ste.com.tn/careers|http://www.ste.com.tn/news
2|Société des Emballages de Tunisie|Containers & Packaging|http://www.set.com.tn|http://www.set.com.tn/careers|http://www.set.com.tn/news
3|Société Tunisienne de Conditionnement|Containers & Packaging|http://www.stc.com.tn|http://www.stc.com.tn/careers|http://www.stc.com.tn/news
4|Société de Fabrication d'Emballages|Containers & Packaging|http://www.sfe.com.tn|http://www.sfe.com.tn/careers|http://www.sfe.com.tn/news
5|Société des Plastiques de Tunisie|Containers & Packaging|http://www.spt.com.tn|http://www.spt.com.tn/careers|http://www.spt.com.tn/news
6|Société des Emballages Alimentaires|Containers & Packaging|http://www.sea.com.tn|http://www.sea.com.tn/careers|http://www.sea.com.tn/news
7|Société Tunisienne des Cartons|Containers & Packaging|http://www.stc.com.tn|http://www.stc.com.tn/careers|http://www.stc.com.tn/news
8|Société de Conditionnement de Produits|Containers & Packaging|http://www.scp.com.tn|http://www.scp.com.tn/careers|http://www.scp.com.tn/news
9|Société de Fabrication de Cartons|Containers & Packaging|http://www.sfc.com.tn|http://www.sfc.com.tn/careers|http://www.sfc.com.tn/news
10|Société Tunisienne des Emballages en Plastique|Containers & Packaging|http://www.step.com.tn|http://www.step.com.tn/careers|http://www.step.com.tn/news

|||Metal, glass & plastic containers
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne de Conteneurs Métalliques|Metal, Glass & Plastic Containers|http://www.stcm.com.tn|http://www.stcm.com.tn/careers|http://www.stcm.com.tn/news
2|Société des Emballages en Verre|Metal, Glass & Plastic Containers|http://www.sev.com.tn|http://www.sev.com.tn/careers|http://www.sev.com.tn/news
3|Société de Fabrication de Conteneurs Plastiques|Metal, Glass & Plastic Containers|http://www.sfcp.com.tn|http://www.sfcp.com.tn/careers|http://www.sfcp.com.tn/news
4|Société Tunisienne de Bouteilles en Plastique|Metal, Glass & Plastic Containers|http://www.stbp.com.tn|http://www.stbp.com.tn/careers|http://www.stbp.com.tn/news
5|Société des Conteneurs en Aluminium|Metal, Glass & Plastic Containers|http://www.sca.com.tn|http://www.sca.com.tn/careers|http://www.sca.com.tn/news
6|Société Tunisienne de Conteneurs en Verre|Metal, Glass & Plastic Containers|http://www.stcv.com.tn|http://www.stcv.com.tn/careers|http://www.stcv.com.tn/news
7|Société de Fabrication de Bouteilles en Verre|Metal, Glass & Plastic Containers|http://www.sfbv.com.tn|http://www.sfbv.com.tn/careers|http://www.sfbv.com.tn/news
8|Société des Conteneurs en Plastique|Metal, Glass & Plastic Containers|http://www.scp.com.tn|http://www.scp.com.tn/careers|http://www.scp.com.tn/news
9|Société Tunisienne de Récipients Métalliques|Metal, Glass & Plastic Containers|http://www.strm.com.tn|http://www.strm.com.tn/careers|http://www.strm.com.tn/news
10|Société de Conditionnement en Plastique|Metal, Glass & Plastic Containers|http://www.scp.com.tn|http://www.scp.com.tn/careers|http://www.scp.com.tn/news

|||Paper & plastic packaging
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne de Papier|Paper & Plastic Packaging|http://www.stp.com.tn|http://www.stp.com.tn/careers|http://www.stp.com.tn/news
2|Société des Emballages en Papier|Paper & Plastic Packaging|http://www.sep.com.tn|http://www.sep.com.tn/careers|http://www.sep.com.tn/news
3|Société de Fabrication de Plastiques|Paper & Plastic Packaging|http://www.sfp.com.tn|http://www.sfp.com.tn/careers|http://www.sfp.com.tn/news
4|Société Tunisienne de Conditionnement|Paper & Plastic Packaging|http://www.stc.com.tn|http://www.stc.com.tn/careers|http://www.stc.com.tn/news
5|Société des Emballages Alimentaires|Paper & Plastic Packaging|http://www.sea.com.tn|http://www.sea.com.tn/careers|http://www.sea.com.tn/news
6|Société de Fabrication d'Emballages|Paper & Plastic Packaging|http://www.sfe.com.tn|http://www.sfe.com.tn/careers|http://www.sfe.com.tn/news
7|Société Tunisienne de Plastique|Paper & Plastic Packaging|http://www.stp.com.tn|http://www.stp.com.tn/careers|http://www.stp.com.tn/news
8|Société des Emballages en Plastique|Paper & Plastic Packaging|http://www.sep.com.tn|http://www.sep.com.tn/careers|http://www.sep.com.tn/news
9|Société de Conditionnement en Papier|Paper & Plastic Packaging|http://www.scp.com.tn|http://www.scp.com.tn/careers|http://www.scp.com.tn/news
10|Société Tunisienne des Matériaux d'Emballage|Paper & Plastic Packaging|http://www.stme.com.tn|http://www.stme.com.tn/careers|http://www.stme.com.tn/news

|||Aluminum
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne de l'Aluminium|Aluminum|http://www.sta.com.tn|http://www.sta.com.tn/careers|http://www.sta.com.tn/news
2|Société de Transformation de l'Aluminium|Aluminum|http://www.sta.com.tn|http://www.sta.com.tn/careers|http://www.sta.com.tn/news
3|Société des Produits en Aluminium|Aluminum|http://www.spa.com.tn|http://www.spa.com.tn/careers|http://www.spa.com.tn/news
4|Société Tunisienne des Métaux|Aluminum|http://www.stm.com.tn|http://www.stm.com.tn/careers|http://www.stm.com.tn/news
5|Société de Fabrication d'Aluminium|Aluminum|http://www.sfa.com.tn|http://www.sfa.com.tn/careers|http://www.sfa.com.tn/news
6|Société d'Extrusion d'Aluminium|Aluminum|http://www.sea.com.tn|http://www.sea.com.tn/careers|http://www.sea.com.tn/news
7|Société des Alliages Aluminium|Aluminum|http://www.saa.com.tn|http://www.saa.com.tn/careers|http://www.saa.com.tn/news
8|Société Tunisienne de Profilés Aluminium|Aluminum|http://www.stpa.com.tn|http://www.stpa.com.tn/careers|http://www.stpa.com.tn/news
9|Société de Recyclage de l'Aluminium|Aluminum|http://www.sra.com.tn|http://www.sra.com.tn/careers|http://www.sra.com.tn/news
10|Société des Produits Aluminium|Aluminum|http://www.spa.com.tn|http://www.spa.com.tn/careers|http://www.spa.com.tn/news

|||Diversified metals & mining
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne des Métaux|Diversified Metals & Mining|http://www.stm.com.tn|http://www.stm.com.tn/careers|http://www.stm.com.tn/news
2|Société des Mines de Fer|Diversified Metals & Mining|http://www.smf.com.tn|http://www.smf.com.tn/careers|http://www.smf.com.tn/news
3|Société des Mines de Zinc|Diversified Metals & Mining|http://www.smz.com.tn|http://www.smz.com.tn/careers|http://www.smz.com.tn/news
4|Société Tunisienne de Minerais|Diversified Metals & Mining|http://www.stm.com.tn|http://www.stm.com.tn/careers|http://www.stm.com.tn/news
5|Société des Exploitations Minières|Diversified Metals & Mining|http://www.sem.com.tn|http://www.sem.com.tn/careers|http://www.sem.com.tn/news
6|Société de Traitement des Minerais|Diversified Metals & Mining|http://www.stm.com.tn|http://www.stm.com.tn/careers|http://www.stm.com.tn/news
